review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,owner_status,owner_decision,owner_new,owner_note
"0b03c38e58b622b1","0b03c38e58b622b1e0cf93f33f5afe35c31dd8f9d40b7ecb46fe5bcee6404e31","DISC-G2-A1-DA-L0024","g2/a1/da|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","da","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/da-a1.json","Nase|idx:430","lv","deguns","Nase","","Næsen","Næsen","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"1b14b98b3da4e347","1b14b98b3da4e3477123b864e114907d60255160ef907120fb05f74cf09e7fc7","DISC-G2-A1-EN-L0024","g2/a1/en|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","en","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/en-a1.json","Nase|idx:430","lv","deguns","Nase","","The nose","The nose","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"da27748d15675975","da27748d15675975e257573b1455d475e381855c143e6ba392e6c3be4f723690","DISC-G2-A1-FR-L0024","g2/a1/fr|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","fr","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/fr-a1.json","Nase|idx:430","lv","deguns","Nase","","Le nez","Le nez","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"1ba8290e7b2e1ca6","1ba8290e7b2e1ca62bc0cb9cb35d631193a1fb0bacbd4694a6f4ffaae420a430","DISC-G2-A1-GR-L0024","g2/a1/gr|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","gr","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/gr-a1.json","Nase|idx:430","lv","deguns","Nase","","Η μύτη","Η μύτη","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"b789f86efa754740","b789f86efa7547407e73043c3641c305c7c57125d9dcfed714f256116cc95273","DISC-G2-A1-HU-L0024","g2/a1/hu|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","hu","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/hu-a1.json","Nase|idx:430","lv","deguns","Nase","","Az orr","Az orr","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"058007616dcd9181","058007616dcd9181aef96c16b5b6798f9c3c5c07eb0205af70b1498709d15840","DISC-G2-A1-LT-L0024","g2/a1/lt|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","lt","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/lt-a1.json","Nase|idx:430","lv","deguns","Nase","","nosis","nosis","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"af77c37a942c314d","af77c37a942c314d1dc3a9a89794f1ad97d4b5bcdbc953646a7f6952c3c129b0","DISC-G2-A1-MK-L0024","g2/a1/mk|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","mk","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/mk-a1.json","Nase|idx:430","lv","deguns","Nase","","Нос","Нос","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"3c5fe64cd5111de2","3c5fe64cd5111de27e8a7673142f4d415454805704c2998bc201058823be46d1","DISC-G2-A1-PL-L0024","g2/a1/pl|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","pl","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/pl-a1.json","Nase|idx:430","lv","deguns","Nase","","Nos","Nos","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"6bdc198990956902","6bdc19899095690223679507bd26a597dace418d17d6d4d7ea2e82f0fb0ae83b","DISC-G2-A1-RU-L0024","g2/a1/ru|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","ru","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/ru-a1.json","Nase|idx:430","lv","deguns","Nase","","Нос","Нос","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"b95f1c928c21182d","b95f1c928c21182d24a1b962dbf863bf8eb44fce4232fae487cbe0511802b1c5","DISC-G2-A1-TR-L0024","g2/a1/tr|Nase|idx:430|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","tr","SRC-LV-2d512fc14dec369b","crowdin-staging/g2/tr-a1.json","Nase|idx:430","lv","deguns","Nase","","Burun","Burun","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
