review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"ce8456e669dba69d","ce8456e669dba69de850da5eedfebbce1e71dd6d0803dcde68344ee6638b9987","DISC-G2-A1-HR-L0012","g2/a1/hr|arbeiten|idx:43|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","arbeiten|idx:43","lv","strādāt","arbeiten","","Posao","Posao","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","raditi","Individuāli pārskatīts hr/arbeiten pret LV 'strādāt': pašreizējais 'Posao' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'raditi'."
"d02a498716b72121","d02a498716b721219c698f58b1420438b2fc7b54ee74211b14e6172571830248","DISC-G2-A1-HR-L0002","g2/a1/hr|Kleidung|idx:338|lv|SEMANTIC_ERROR|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Kleidung|idx:338","lv","apģērbs","Kleidung","","Kos platna.","Kos platna.","PASS","","SEMANTIC_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","odjeća","Individuāli pārskatīts hr/Kleidung pret LV 'apģērbs': pašreizējais 'Kos platna.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'odjeća'."
"d1345a5a4c23276e","d1345a5a4c23276e5ea30a8d05332df825404b768439d6b6979944057fd10eb2","DISC-G2-A1-HR-L0019","g2/a1/hr|schlafen|idx:512|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","schlafen|idx:512","lv","gulēt","schlafen","","Сън","Сън","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","spavati","Individuāli pārskatīts hr/schlafen pret LV 'gulēt': pašreizējais 'Сън' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'spavati'."
"d26144eb9f7f5ae2","d26144eb9f7f5ae262a2073df552d84f3d7d458ee7fdc13d67d26504aafdb665","DISC-G2-A1-HR-L0014","g2/a1/hr|brauchen|idx:106|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","brauchen|idx:106","lv","vajadzēt","brauchen","","Потреба","Потреба","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","trebati","Individuāli pārskatīts hr/brauchen pret LV 'vajadzēt': pašreizējais 'Потреба' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'trebati'."
"d5a95a915805bf66","d5a95a915805bf666e1ba2ba6dddbae46259b5f44bec3131cd905a246e28dbbc","DISC-G2-A1-HR-L0002","g2/a1/hr|klein|idx:6|lv and study.*|TRANSLATION_ERROR|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","klein|idx:6","lv and study.*","mazs","klein","","{""lv"":""Мали"",""study.translation"":""Мали"",""study.explanation"":""[\""Glavna ideja: malenkost ili volumen.\"",\""Klein u osnovi znači: mali obim.\"",\""Često opisuje: veličinu osobe/osobe.\""]"",""study.examples"":""[{\""de\"":\""Das Zimmer ist klein.\"",\""lv\"":\""Soba je mala.\""},{\""de\"":\""Das Kind ist noch klein.\"",\""lv\"":\""Soba je mala.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Dijete je još malo.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Imam malu torbu.\""},{\""de\"":\""Das Kind ist klein.\"",\""lv\"":\""-Fanta imajo!\""}]"",""study.tip"":""[\""Klein = majhna\"",\""Uporablja ga Klein, ko kontekst sovpada s tem pomenom.\""]"",""study.important"":""[\""Клајн = мал по големина.\"",\""Klein = mali.\""]""}","{""lv"":""Мали"",""study.translation"":""Мали"",""study.explanation"":""[\""Glavna ideja: malenkost ili volumen.\"",\""Klein u osnovi znači: mali obim.\"",\""Često opisuje: veličinu osobe/osobe.\""]"",""study.examples"":""[{\""de\"":\""Das Zimmer ist klein.\"",\""lv\"":\""Soba je mala.\""},{\""de\"":\""Das Kind ist noch klein.\"",\""lv\"":\""Soba je mala.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Dijete je još malo.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Imam malu torbu.\""},{\""de\"":\""Das Kind ist klein.\"",\""lv\"":\""-Fanta imajo!\""}]"",""study.tip"":""[\""Klein = majhna\"",\""Uporablja ga Klein, ko kontekst sovpada s tem pomenom.\""]"",""study.important"":""[\""Клајн = мал по големина.\"",\""Klein = mali.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","Individuāli pārskatīts hr ieraksts klein|idx:6 (klein), ceļš 'lv and study.*': viena rinda aptver apakšlaukus lv, study.translation, study.explanation, study.examples, study.tip, kuru saturs sākas ar '{""lv"":""Мали"",""study.translation"":""Мали"",""study.explanation"":""[\""Glavna ideja: malenkost ili volumen.\"",\…'. Atsevišķās nozīmes nevar droši aizstāt ar vienu owner_new; vajadzīgs lauka līmeņa OWNER sadalījums."
"d797151e054245d6","d797151e054245d63c1d2dbe212ef23d19c2e68d69bf7a8a7955954f12889556","DISC-G2-A1-HR-L0013","g2/a1/hr|lustig|idx:385|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","lustig|idx:385","lv","jautrs","lustig","","Забавление","Забавление","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","smiješan","Individuāli pārskatīts hr/lustig pret LV 'jautrs': pašreizējais 'Забавление' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'smiješan'."
"d88ec6a08ef9175d","d88ec6a08ef9175d3bfc8fe7d2eea2a9b016a14b632f77436f98077ba2f20478","DISC-G2-A1-HR-L0018","g2/a1/hr|beide|idx:79|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","beide|idx:79","lv","abi","beide","","-O komu? -O Margaery.","-O komu? -O Margaery.","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","oba","Individuāli pārskatīts hr/beide pret LV 'abi': pašreizējais '-O komu? -O Margaery.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'oba'."
"da46a678b64e9758","da46a678b64e97581ffcd2d3915756d5e6b25d64c9b49a576dea8e710de42f25","DISC-G2-A1-HR-L0004","g2/a1/hr|Schrank|idx:523|lv|MEANING_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Schrank|idx:523","lv","skapis","Schrank","","Keeler","Keeler","PASS","","MEANING_MISMATCH","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","ormar","Individuāli pārskatīts hr/Schrank pret LV 'skapis': pašreizējais 'Keeler' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'ormar'."
"dcfdafa66df2b0c3","dcfdafa66df2b0c3be2bbac27314e5b0b3a9e8479a0d8ac2914fcf77921014bf","DISC-G2-A1-HR-L0007","g2/a1/hr|allein|idx:8|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","allein|idx:8","lv","viens pats","allein","","Jedan","Jedan","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","sam","Individuāli pārskatīts hr/allein pret LV 'viens pats': pašreizējais 'Jedan' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'sam'."
"df80775c8c0ddbf9","df80775c8c0ddbf9af47a02b13dd1d21f34a69636706c3c1f6109eba9e11e215","DISC-G2-A1-HR-L0008","g2/a1/hr|mitnehmen|idx:409|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","mitnehmen|idx:409","lv","ņemt līdzi","mitnehmen","","-Vzamite ga s sabo. -Razumem.","-Vzamite ga s sabo. -Razumem.","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","ponijeti","Individuāli pārskatīts hr/mitnehmen pret LV 'ņemt līdzi': pašreizējais '-Vzamite ga s sabo. -Razumem.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'ponijeti'."
"e6dad3cd4c997019","e6dad3cd4c997019812fd24f3a51cedd883042cdad4e64d40687dd23dad7e7a9","DISC-G2-A1-HR-L0017","g2/a1/hr|leben|idx:360|lv|SEMANTIC_ERROR|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","leben|idx:360","lv","dzīvot","leben","","Osebno tu.","Osebno tu.","PASS","","SEMANTIC_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","živjeti","Individuāli pārskatīts hr/leben pret LV 'dzīvot': pašreizējais 'Osebno tu.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'živjeti'."
"e786c00e7cdbda4e","e786c00e7cdbda4ed73fe5b61c3b446a25d2b85082779e7b333405f3adabb36a","DISC-G2-A1-HR-L0005","g2/a1/hr|Morgen|idx:418|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Morgen|idx:418","lv","rīts","Morgen","","-Takoj zjutraj.","-Takoj zjutraj.","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","jutro","Individuāli pārskatīts hr/Morgen pret LV 'rīts': pašreizējais '-Takoj zjutraj.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'jutro'."
"eaf6b298d4f2f495","eaf6b298d4f2f495b7ebdc73f48c2bc8ab345b14640fde7387ae14a29bbec901","DISC-G2-A1-HR-L0015","g2/a1/hr|welcher|idx:652|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","welcher|idx:652","lv","kurš","welcher","","СЗО","СЗО","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","koji","Individuāli pārskatīts hr/welcher pret LV 'kurš': pašreizējais 'СЗО' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'koji'."
