review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,owner_status,owner_decision,owner_new,owner_note
"77adea9b117f39d7","77adea9b117f39d7673da738b952f78df03049fb0253e6dea437f38d6637c985","DISC-G2-A1-UK-L0005","g2/a1/uk|Morgen|idx:418|lv; study.translation; study.explanation; study.examples; study.tip; study.important|SOURCE_LV_ISSUE|gpt-5.6-luna","uk","SRC-LV-a798eeb42f4c70c8","crowdin-staging/g2/uk-a1.json","Morgen|idx:418","lv; study.translation; study.explanation; study.examples; study.tip; study.important","","Morgen","","","","N/A","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","TARGET_NOT_FOUND","PENDING","","",""
"d5bac207322b09b7","d5bac207322b09b7dfeb64716a4911315996756b02218f50bec101b0e81288ef","DISC-G2-A1-BG-L0012","g2/a1/bg|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bg","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/bg-a1.json","geboren|idx:224","lv","dzimis","geboren","","Е роден","Е роден","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"6c218012455d5145","6c218012455d5145b36764fe3f3449326acacd53686b3d095bcc900574ef9e35","DISC-G2-A1-BS-L0012","g2/a1/bs|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bs","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/bs-a1.json","geboren|idx:224","lv","dzimis","geboren","","rođen","rođen","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"6c84cb88a75af673","6c84cb88a75af6734c903982cf5707ff254c3e0b8c404806f43334858aed3fed","DISC-G2-A1-CS-L0012","g2/a1/cs|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","cs","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/cs-a1.json","geboren|idx:224","lv","dzimis","geboren","","Narozený","Narozený","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"7839675067d071cc","7839675067d071cc91405a5567b7f3d096b5e069a0b95caf008601f0957d047f","DISC-G2-A1-ES-L0012","g2/a1/es|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","es","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/es-a1.json","geboren|idx:224","lv","dzimis","geboren","","nacido","nacido","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"2627233d0697f221","2627233d0697f2212c2c8bd8e3ed696ce89889d2e62a3c379750405842cd1e96","DISC-G2-A1-IS-L0012","g2/a1/is|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","is","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/is-a1.json","geboren|idx:224","lv","dzimis","geboren","","Født","Født","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"56f056cfe5a1de41","56f056cfe5a1de4159824f54f64538909137634d7c2e8a7c14321052e2f44bd8","DISC-G2-A1-NN-L0012","g2/a1/nn|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","nn","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/nn-a1.json","geboren|idx:224","lv","dzimis","geboren","","Født","Født","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"89c52c09598907b4","89c52c09598907b47451b91606f780061a82918c2c8ec7905ccef77e3f2360af","DISC-G2-A1-RO-L0012","g2/a1/ro|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","ro","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/ro-a1.json","geboren|idx:224","lv","dzimis","geboren","","S-a născut","S-a născut","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"034ff776e25fb535","034ff776e25fb535b9e0aaa55dab9c338442a7bdc642f03bf813a2f166611f56","DISC-G2-A1-SK-L0012","g2/a1/sk|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","sk","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/sk-a1.json","geboren|idx:224","lv","dzimis","geboren","","Narodil sa","Narodil sa","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"4aaae4b897beacaf","4aaae4b897beacaf92bab5c149ad5d95d80086ef720c8440a4b848be73bce2e1","DISC-G2-A1-UK-L0012","g2/a1/uk|geboren|idx:224|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","uk","SRC-LV-a7afe809b8d78789","crowdin-staging/g2/uk-a1.json","geboren|idx:224","lv","dzimis","geboren","","народився","народився","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"68f3b5d505d04b0b","68f3b5d505d04b0b6f0dc4457b053a14701a7b0f98489e17329a32eacdbd4926","DISC-G2-A1-FR-L0008","g2/a1/fr|heute|idx:281|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","fr","SRC-LV-a7e5b538523182d3","crowdin-staging/g2/fr-a1.json","heute|idx:281","lv","šodien","heute","","Aujourd'hui","Aujourd'hui","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
