review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,owner_status,owner_decision,owner_new,owner_note
"df9dc359933fc018","df9dc359933fc0186488dc454f445bc81bb8d9acdf859fca3fca9b1f4a81a70e","DISC-G2-A1-TR-L0015","g2/a1/tr|Mahlzeit|idx:388|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","Mahlzeit|idx:388","lv","maltīte","Mahlzeit","","Yemek","Yemek","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"dfa762f1ee98d738","dfa762f1ee98d738d49eff3a7b5a4cd8aea05afa6d24c0a48cf611040b92eecf","DISC-G2-A1-TR-L0014","g2/a1/tr|Mädchen|idx:387|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","Mädchen|idx:387","lv","meitene","Mädchen","","Kız","Kız","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"dfe7fda337fee762","dfe7fda337fee762a9cc51042ab9d747b6fbf4d897e47f91fe340eebf6c15a49","DISC-G2-A1-TR-L0010","g2/a1/tr|verheiratet|idx:618|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","verheiratet|idx:618","lv","precējies","verheiratet","","Evli","Evli","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"dff040ee2bc5b8e5","dff040ee2bc5b8e5ef2c31a9874eba7488c6cc91ca2ff00521200887613c143f","DISC-G2-A1-TR-L0015","g2/a1/tr|Abend|idx:18|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","Abend|idx:18","lv","vakars","Abend","","Akşam","Akşam","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"e053bd552769d5a4","e053bd552769d5a4058227dd41d26e0aee294006fbb80b91990b334fe87d441c","DISC-G2-A1-TR-L0025","g2/a1/tr|letzte|idx:370|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","letzte|idx:370","lv","pēdējais","letzte","","Son","Son","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"e1276bdff62040f5","e1276bdff62040f5b61c915bca3b974125116037331d8bbffff6f5fcb8bdcdd9","DISC-G2-A1-TR-L0011","g2/a1/tr|zweimal|idx:681|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","zweimal|idx:681","lv","divreiz","zweimal","","İki kere","İki kere","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"e18827ad82db02eb","e18827ad82db02eb1585deda5ccb19e6a56e4659a431207abb2ed5fcc8eaac81","DISC-G2-A1-TR-L0013","g2/a1/tr|Lampe|idx:350|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","Lampe|idx:350","lv","lampa","Lampe","","Flash","Flash","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"e2780b565496382d","e2780b565496382d22f37e502aa5006d5abcdc17002a38bc386b39cd83b0ad7d","DISC-G2-A1-TR-L0005","g2/a1/tr|schreiben|idx:524|lv|WRONG_LANGUAGE|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","schreiben|idx:524","lv","rakstīt","schreiben","","Yazmak","Yazmak","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"e31a70ef19c0f389","e31a70ef19c0f389ddd01666dcf8bc9b47fb7f461c41ceb3112ec767a8e518f5","DISC-G2-A1-TR-L0014","g2/a1/tr|viel|idx:623|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","viel|idx:623","lv","daudz","viel","","Çok","Çok","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"e355d71d2adb1110","e355d71d2adb1110b253241a29f18717f671543ab5bee337df5690268e63c204","DISC-G2-A1-TR-L0002","g2/a1/tr|halten|idx:265|lv, study|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","tr","","crowdin-staging/g2/tr-a1.json","halten|idx:265","lv, study","turēt","halten","","Basılı tutun • Durdurun","Basılı tutun • Durdurun","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","CRITICAL","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
