review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"0c9657a4dbb79225","0c9657a4dbb792258efc425055200cdccbfdb136e0af9cd8e2040f1fb9e3ab81","DISC-G2-A1-BG-L0006","g2/a1/bg|teuer|idx:596|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","teuer|idx:596","lv","dārgs","teuer","","Скъпо","Скъпо","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","LOW","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","скъп","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"0f222bf0b5417f92","0f222bf0b5417f9228628694900a2ff2d6fcae23b1dac64c23223c764990824b","DISC-G2-A1-BG-L0003","g2/a1/bg|tanzen|idx:588|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","tanzen|idx:588","lv","dejot","tanzen","","Танцувай","Танцувай","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","танцувам","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"15994fb29d104c4f","15994fb29d104c4f10bb3d7b287e676fbbba85df7db6ece6f20687625873742e","DISC-G2-A1-BG-L0003","g2/a1/bg|kommen|idx:318|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","kommen|idx:318","lv","nākt","kommen","","Ела","Ела","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","идвам","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"1600a80e61901507","1600a80e619015076f675c3142d4dddaf0e149c9c230f029fc47deb1bbb781f4","DISC-G2-A1-BG-L0006","g2/a1/bg|schlafen|idx:512|lv|PART_OF_SPEECH|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","schlafen|idx:512","lv","gulēt","schlafen","","Сън","Сън","PASS","","PART_OF_SPEECH","GRAMMAR_MORPHOLOGY_OR_FORM","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","спя","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"1da5b43ab78b9630","1da5b43ab78b9630b2fc888830c0baafe2c42596f7ce8a98c354e28dbc672d0d","DISC-G2-A1-BG-L0001","g2/a1/bg|Augenbraue|idx:61|lv|NUMBER_MISMATCH|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","Augenbraue|idx:61","lv","uzacs","Augenbraue","","Вежди","Вежди","PASS","","NUMBER_MISMATCH","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","вежда","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"1e5e5953dd3a0ba1","1e5e5953dd3a0ba14a5249a7913cff62d07de73eabae67d37a820e6f4d7e81b6","DISC-G2-A1-BG-L0003","g2/a1/bg|erste|idx:166|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","erste|idx:166","lv","pirmais","erste","","Първо","Първо","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","първи","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"204299bb8c98ffce","204299bb8c98ffceab881428efecc6cf02e7af2a54445feabdecb91cd417c48e","DISC-G2-A1-BG-L0008","g2/a1/bg|trinken|idx:604|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","trinken|idx:604","lv","dzert","trinken","","Пийте","Пийте","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","пия","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"26deade42fb174d1","26deade42fb174d13452384a3e1bc71ce6c1256e426c6d5f1430142bc624eb91","DISC-G2-A1-BG-L0004","g2/a1/bg|fragen|idx:197|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","fragen|idx:197","lv","jautāt","fragen","","Попитайте","Попитайте","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","питам","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"30c16e6a387e8d72","30c16e6a387e8d7237bfbf2aa673b7ca712bbca073a90d099e637c38764147e2","DISC-G2-A1-BG-L0004","g2/a1/bg|Schaf|idx:509|lv|NUMBER|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","Schaf|idx:509","lv","aita","Schaf","","Овце","Овце","PASS","","NUMBER","GRAMMAR_MORPHOLOGY_OR_FORM","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","овца","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"39bbc649d2a5a66b","39bbc649d2a5a66b903348b566e1246abed0eb1a51f34ec73a45bd7b9d9e27ee","DISC-G2-A1-BG-L0005","g2/a1/bg|lächeln|idx:322|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","lächeln|idx:322","lv","smaidīt","lächeln","","Усмихни се","Усмихни се","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","усмихвам се","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"3ad39f93ce29b45e","3ad39f93ce29b45ed3f8bf97056699ad509bb0fbc00bef4a5301b520447a265b","DISC-G2-A1-BG-L0003","g2/a1/bg|fliegen|idx:192|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","fliegen|idx:192","lv","lidot","fliegen","","Лети","Лети","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","летя","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
"41bec8edfc65f14e","41bec8edfc65f14e0da1a4548be4bbc04f91cbf16f5c75525d44610ad95b07e7","DISC-G2-A1-BG-L0002","g2/a1/bg|fett|idx:184|lv|GRAMMAR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","fett|idx:184","lv","trekns","fett","","Дебела","Дебела","PASS","","GRAMMAR","GRAMMAR_MORPHOLOGY_OR_FORM","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","мазен","HIGH_CONFIDENCE_TARGET_CORRECTION: exact target-language replacement supplied after DE/LV/current row review."
