review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"ec9e94798ea01868","ec9e94798ea01868d90a830d0943285dd48384f1a2436febed5a1742a83011e8","DISC-G2-A1-NN-L0012","g2/a1/nn|verlieren|idx:620|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","verlieren|idx:620","lv","zaudēt","verlieren","","Kaotama","Kaotama","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Miste","Individually reviewed nn lemma “verlieren” against Latvian “zaudēt”: production “Kaotama” is not the required nn gloss; replace this exact lv field with “Miste”."
"ed003da0747a3e7b","ed003da0747a3e7bf6df27dfda761d7874b9f39f98a2218780713ef82c380c81","DISC-G2-A1-NN-L0018","g2/a1/nn|wichtig|idx:659|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","wichtig|idx:659","lv","svarīgs","wichtig","","Tähtis","Tähtis","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Viktig","Individually reviewed nn lemma “wichtig” against Latvian “svarīgs”: production “Tähtis” is not the required nn gloss; replace this exact lv field with “Viktig”."
"ee3dc1717a5e5260","ee3dc1717a5e5260b4b4b2bf6a19d94d73a929a8b3ebce1a4758392304a52eca","DISC-G2-A1-NN-L0017","g2/a1/nn|leben|idx:360|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","leben|idx:360","lv","dzīvot","leben","","Elam","Elam","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Leve","Individually reviewed nn lemma “leben” against Latvian “dzīvot”: production “Elam” is not the required nn gloss; replace this exact lv field with “Leve”."
"ef1a3dd704d5b0fe","ef1a3dd704d5b0fec51d515461c67b32a62ad6971fffe4eb4f48efa89f1d7797","DISC-G2-A1-NN-L0003","g2/a1/nn|einmal|idx:700|lv, study.explanation, study.examples, study.tip, study.important|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","einmal|idx:700","lv, study.explanation, study.examples, study.tip, study.important","vienreiz • reiz","einmal","","{""lv"":""Üks kord • Kord"",""study.explanation"":""[\""Põhiidee: Osutab özlele korale või korrale (kord ma olin...).\"",\""Einmal jäytä säyätä: üks kord / körätäs.\"",\""Sagelie speltab: ajamärust.\"",\""Einmal yukta özlele korale või korrale (kord ma...).\""]"",""study.examples"":""[{\""de\"":\""Ich war einmal in Berlin.\"",\""lv\"":\""Ma olin kord Berlinis.\""},{\""de\"":\""Ich war einmal in Berlin.\"",\""lv\"":\""Ma olin kord Berlinis.\""}]"",""study.tip"":""[\""einmal = ein gong\"",\""Bruk einmal når konteksten samsvarar med denne tydinga.\""]"",""study.important"":""[\""einmal = ein gong eller ein gong i fortida.\"",\""Peiker på ein gong eller fortida (ein gong var eg...).\""]""}","{""lv"":""Üks kord • Kord"",""study.explanation"":""[\""Põhiidee: Osutab özlele korale või korrale (kord ma olin...).\"",\""Einmal jäytä säyätä: üks kord / körätäs.\"",\""Sagelie speltab: ajamärust.\"",\""Einmal yukta özlele korale või korrale (kord ma...).\""]"",""study.examples"":""[{\""de\"":\""Ich war einmal in Berlin.\"",\""lv\"":\""Ma olin kord Berlinis.\""},{\""de\"":\""Ich war einmal in Berlin.\"",\""lv\"":\""Ma olin kord Berlinis.\""}]"",""study.tip"":""[\""einmal = ein gong\"",\""Bruk einmal når konteksten samsvarar med denne tydinga.\""]"",""study.important"":""[\""einmal = ein gong eller ein gong i fortida.\"",\""Peiker på ein gong eller fortida (ein gong var eg...).\""]""}","PASS","","TARGET_LANGUAGE_ERROR","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","Individually reviewed nn composite row for “einmal” (lv, study.explanation, study.examples, study.tip, study.important) against Latvian “vienreiz • reiz”. Production begins “{""lv"":""Üks kord • Kord"",""study.explanation"":""[\""Põhiidee: Osutab özlele korale või korrale (kord ma olin...).\"",\""Einma…”. The row spans several independently editable fields, so one scalar owner_new would be unsafe; keep PENDING until the listed subfields are reviewed and represented separately."
"ef35c62f24e415da","ef35c62f24e415da5459ed51172667b9da46d628c31ba493be3387cd55985258","DISC-G2-A1-NN-L0007","g2/a1/nn|neunhundert|idx:441|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","neunhundert|idx:441","lv","deviņsimt","neunhundert","","Üheksasada","Üheksasada","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Ni hundre","Individually reviewed nn lemma “neunhundert” against Latvian “deviņsimt”: production “Üheksasada” is not the required nn gloss; replace this exact lv field with “Ni hundre”."
"efab36ba703b9c66","efab36ba703b9c66c0060bf27593024bcf44a4ce41a33e62d36001e14c72c19d","DISC-G2-A1-NN-L0007","g2/a1/nn|Herr|idx:280|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Herr|idx:280","lv","kungs","Herr","","Sir","Sir","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","LINGUISTIC_QUARANTINE: owner_new must be nynorsk herre, not German Herr; prior LABOT overturned. OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_ALIAS bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=nn field=lv"
"efd7dcf58448f3c8","efd7dcf58448f3c83096d1fa055629f89448aaa5f7532a92700c0c0e1eb70802","DISC-G2-A1-NN-L0004","g2/a1/nn|nehmen|idx:435|lv / study|TARGET_LANGUAGE_CONTAMINATION|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","nehmen|idx:435","lv / study","ņemt • paņemt","nehmen","","{""lv"":""Võtma • Kätte vämä"",""study.translation"":""Võtma • Kätte vämä"",""study.explanation"":""[\""Põhiidee: nehmen tähäm tämä või käte tämä.\"",\""Nehmen vehnakot, kui sa võhad magadi endale või gyldig.\"",\""Se ei ole sama mis bringen, sest bringen jähä kellegi tooma või viima.\"",\""Holen säytä yögä memne ja tooma/võtma.\""]"",""study.examples"":""[{\""de\"":\""Ich nehme den Bus.\"",\""lv\"":\""Ma sålån bussiga.\""},{\""de\"":\""Nimm das Buch!\"",\""lv\"":\""Ta boken!\""},{\""de\"":\""Ich bringe dir das Buch.\"",\""lv\"":\""Ma toon sulle bibbe.\""},{\""de\"":\""Ich hole dich ab.\"",\""lv\"":\""Ma tulen sulle lög.\""}]"",""study.comparison"":""[{\""word\"":\""nehmen\"",\""meaning\"":\""Võtma / kète vämä\"",\""example\"":\""Ta boka!\""},{\""word\"":\""bringen\"",\""meaning\"":\""Tooma / viima / vukkile vaittama\"",\""example\"":\""Eg bringer deg boka.\""},{\""word\"":\""holen\"",\""meaning\"":\""Järele minema / tooma\"",\""example\"":\""Eg hentar vatn.\""},{\""word\"":\""mitnehmen\"",\""meaning\"":\""Ta det\"",\""example\"":\""Eg tek deg med.\""}]"",""study.tip"":""{\""text\"":\""Atceries: paņem sev → nehmen; atnes kādam → bringen.\""}"",""study.important"":""[\""Ich nehme den Bus på latvisk tyder \\\""eg køyrer med bussen\\\"".\"",\""nehmen er ikkje det same som bringen.\""]""}","{""lv"":""Võtma • Kätte vämä"",""study.translation"":""Võtma • Kätte vämä"",""study.explanation"":""[\""Põhiidee: nehmen tähäm tämä või käte tämä.\"",\""Nehmen vehnakot, kui sa võhad magadi endale või gyldig.\"",\""Se ei ole sama mis bringen, sest bringen jähä kellegi tooma või viima.\"",\""Holen säytä yögä memne ja tooma/võtma.\""]"",""study.examples"":""[{\""de\"":\""Ich nehme den Bus.\"",\""lv\"":\""Ma sålån bussiga.\""},{\""de\"":\""Nimm das Buch!\"",\""lv\"":\""Ta boken!\""},{\""de\"":\""Ich bringe dir das Buch.\"",\""lv\"":\""Ma toon sulle bibbe.\""},{\""de\"":\""Ich hole dich ab.\"",\""lv\"":\""Ma tulen sulle lög.\""}]"",""study.comparison"":""[{\""word\"":\""nehmen\"",\""meaning\"":\""Võtma / kète vämä\"",\""example\"":\""Ta boka!\""},{\""word\"":\""bringen\"",\""meaning\"":\""Tooma / viima / vukkile vaittama\"",\""example\"":\""Eg bringer deg boka.\""},{\""word\"":\""holen\"",\""meaning\"":\""Järele minema / tooma\"",\""example\"":\""Eg hentar vatn.\""},{\""word\"":\""mitnehmen\"",\""meaning\"":\""Ta det\"",\""example\"":\""Eg tek deg med.\""}]"",""study.tip"":""{\""text\"":\""Atceries: paņem sev → nehmen; atnes kādam → bringen.\""}"",""study.important"":""[\""Ich nehme den Bus på latvisk tyder \\\""eg køyrer med bussen\\\"".\"",\""nehmen er ikkje det same som bringen.\""]""}","PASS","","TARGET_LANGUAGE_CONTAMINATION","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","Individually reviewed nn composite row for “nehmen” (lv / study) against Latvian “ņemt • paņemt”. Production begins “{""lv"":""Võtma • Kätte vämä"",""study.translation"":""Võtma • Kätte vämä"",""study.explanation"":""[\""Põhiidee: nehmen tähäm tämä…”. The row spans several independently editable fields, so one scalar owner_new would be unsafe; keep PENDING until the listed subfields are reviewed and represented separately."
"f04b5a68e482a147","f04b5a68e482a147533e72c87197b084e900ea2b0f51fbb8f7882f58fb41fbf3","DISC-G2-A1-NN-L0022","g2/a1/nn|Bruder|idx:115|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Bruder|idx:115","lv","brālis","Bruder","","Vend","Vend","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Bror","Individually reviewed nn lemma “Bruder” against Latvian “brālis”: production “Vend” is not the required nn gloss; replace this exact lv field with “Bror”."
"f127087c95e76592","f127087c95e76592134d25bf10d091bb5816766fb5740c151ee8ec25c7c5830b","DISC-G2-A1-NN-L0018","g2/a1/nn|Januar|idx:298|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Januar|idx:298","lv","janvāris","Januar","","Januar","Januar","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","Individually reviewed nn lemma “Januar” against Latvian “janvāris”: production “Januar” is the same verified nn lexical form “Januar”; no correction is needed."
"f17d325c614b77a2","f17d325c614b77a245c97b7a6051636bf6501ae2b99dc53a00e750b3f9027f2d","DISC-G2-A1-NN-L0004","g2/a1/nn|morgen|idx:417|lv, study|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","morgen|idx:417","lv, study","rīt","morgen","","{""lv"":""Menn"",""study.translation"":""Menn"",""study.explanation"":""[\""Põhiidee: Ajamäerus lille algustähega. Det betyr neste dag - homme.\"",\""Morgenen betyr neste dag: neste dag.\"",\""Sägeli sältetab: ajamäerus.\"",\""Morgen gejättä säätä: pää osa.\"",\""Sägeli ekpretab: nimisõna (der).\"",\""Morgen betyr morgen.\"",\""Sägeli ekpretab: nimisõna (pl.).\"",\""Morgen knejse algustähega gejske homme — jèsmeil täjäl (Ich komme morgen = ma tulen homme, Bis morgen!\""]"",""study.examples"":""[{\""de\"":\""Ich komme morgen.\"",\""lv\"":\""Ma tulen homme.\""},{\""de\"":\""Bis morgen!\"",\""lv\"":\""Homeseni!\""},{\""de\"":\""Ich komme morgen.\"",\""lv\"":\""Ma tulen homme.\""},{\""de\"":\""Morgen ist Montag.\"",\""lv\"":\""Homme påskedag.\""},{\""de\"":\""Guten Morgen!\"",\""lv\"":\""God morgen!\""},{\""de\"":\""Der Morgen ist schön.\"",\""lv\"":\""Hommik på illus.\""}]"",""study.tip"":""[\""Liten morgen = i morgon (Ich komme morgen). der Morgen med stor bokstav = morgen (Guten Morgen!, am Morgen).\"",\""morgen = i morgon\""]"",""study.important"":""[\""morgen står med liten bokstav — det er eit tidsledd (i morgon).\"",\""der Morgen med stor bokstav og artikkelen der er eit substantiv (morgen).\"",\""Guten Morgen! — alltid med stor M (morgen, ikkje morgon).\"",\""Feil: Guten morgen! → Riktig: Guten Morgen!\""]""}","{""lv"":""Menn"",""study.translation"":""Menn"",""study.explanation"":""[\""Põhiidee: Ajamäerus lille algustähega. Det betyr neste dag - homme.\"",\""Morgenen betyr neste dag: neste dag.\"",\""Sägeli sältetab: ajamäerus.\"",\""Morgen gejättä säätä: pää osa.\"",\""Sägeli ekpretab: nimisõna (der).\"",\""Morgen betyr morgen.\"",\""Sägeli ekpretab: nimisõna (pl.).\"",\""Morgen knejse algustähega gejske homme — jèsmeil täjäl (Ich komme morgen = ma tulen homme, Bis morgen!\""]"",""study.examples"":""[{\""de\"":\""Ich komme morgen.\"",\""lv\"":\""Ma tulen homme.\""},{\""de\"":\""Bis morgen!\"",\""lv\"":\""Homeseni!\""},{\""de\"":\""Ich komme morgen.\"",\""lv\"":\""Ma tulen homme.\""},{\""de\"":\""Morgen ist Montag.\"",\""lv\"":\""Homme påskedag.\""},{\""de\"":\""Guten Morgen!\"",\""lv\"":\""God morgen!\""},{\""de\"":\""Der Morgen ist schön.\"",\""lv\"":\""Hommik på illus.\""}]"",""study.tip"":""[\""Liten morgen = i morgon (Ich komme morgen). der Morgen med stor bokstav = morgen (Guten Morgen!, am Morgen).\"",\""morgen = i morgon\""]"",""study.important"":""[\""morgen står med liten bokstav — det er eit tidsledd (i morgon).\"",\""der Morgen med stor bokstav og artikkelen der er eit substantiv (morgen).\"",\""Guten Morgen! — alltid med stor M (morgen, ikkje morgon).\"",\""Feil: Guten morgen! → Riktig: Guten Morgen!\""]""}","PASS","","TARGET_LANGUAGE_ERROR","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","Individually reviewed nn composite row for “morgen” (lv, study) against Latvian “rīt”. Production begins “{""lv"":""Menn"",""study.translation"":""Menn"",""study.explanation"":""[\""Põhiidee: Ajamäerus lille algustähega. Det betyr neste …”. The row spans several independently editable fields, so one scalar owner_new would be unsafe; keep PENDING until the listed subfields are reviewed and represented separately."
