review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"7260e65ea7529d8f","7260e65ea7529d8f22b6f5c446ae435b41ba7c42bfa80ee4a22239ed3df88e74","DISC-G2-A1-LB-L0004","g2/a1/lb|Koch|idx:340|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Koch|idx:340","lv","pavārs","Koch","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Koch|idx:340 / lv: exact Luxembourgish wording for German 'Koch' (Latvian 'pavārs') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"72d6c85976f674b7","72d6c85976f674b7f9fe8d7dd088125508bca7fd69cd8efd54800fe33c30cb8f","DISC-G2-A1-LB-L0019","g2/a1/lb|freundlich|idx:203|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","freundlich|idx:203","lv","laipns","freundlich","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of freundlich|idx:203 / lv: exact Luxembourgish wording for German 'freundlich' (Latvian 'laipns') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"73ff56e7189bcfde","73ff56e7189bcfde05ed516633f3e634e17403412cf7ee0ab1262eaf90eb745b","DISC-G2-A1-LB-L0008","g2/a1/lb|Fuß|idx:217|lv|UNTRANSLATED|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Fuß|idx:217","lv","pēda","Fuß","","CAA -","CAA -","PASS","","UNTRANSLATED","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Fuß|idx:217 / lv: exact Luxembourgish wording for German 'Fuß' (Latvian 'pēda') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"74d8f18309e04b29","74d8f18309e04b290fa9127565fc48bd8a5629d7096ac8b11da5d25256cd7445","DISC-G2-A1-LB-L0006","g2/a1/lb|unten|idx:614|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","unten|idx:614","lv","apakšā","unten","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of unten|idx:614 / lv: exact Luxembourgish wording for German 'unten' (Latvian 'apakšā') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"75222d56448c64da","75222d56448c64da45617d70691cf60ea2fbf496d7f0af2f7b822bf21cfe15ca","DISC-G2-A1-LB-L0007","g2/a1/lb|Cousine|idx:125|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Cousine|idx:125","lv","māsīca","Cousine","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Cousine|idx:125 / lv: exact Luxembourgish wording for German 'Cousine' (Latvian 'māsīca') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"779744663c90747d","779744663c90747d3ee0f5c65900a9f3c29ff0c4899527af97ab117ff7507cf8","DISC-G2-A1-LB-L0022","g2/a1/lb|Nacht|idx:429|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Nacht|idx:429","lv","nakts","Nacht","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Nacht|idx:429 / lv: exact Luxembourgish wording for German 'Nacht' (Latvian 'nakts') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"78679b59028d1323","78679b59028d132328e4d36d73447b4bff1bf77968dada8a69613e633e2583d0","DISC-G2-A1-LB-L0014","g2/a1/lb|gehen|idx:227|lv|UNTRANSLATED|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","gehen|idx:227","lv","iet","gehen","","CAA -","CAA -","PASS","","UNTRANSLATED","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of gehen|idx:227 / lv: exact Luxembourgish wording for German 'gehen' (Latvian 'iet') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"79788ec3ec9cd257","79788ec3ec9cd2571300df596572817de7c22a7bd1411f4227d8d9fcd6bf5678","DISC-G2-A1-LB-L0008","g2/a1/lb|anders|idx:15|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","anders|idx:15","lv","citādi","anders","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of anders|idx:15 / lv: exact Luxembourgish wording for German 'anders' (Latvian 'citādi') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"79e771ffce7c68bf","79e771ffce7c68bf445d2d7e24af6242baee64a5f776e20b588f79bd3c8bfb59","DISC-G2-A1-LB-L0009","g2/a1/lb|Person|idx:473|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Person|idx:473","lv","persona","Person","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Person|idx:473 / lv: exact Luxembourgish wording for German 'Person' (Latvian 'persona') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"7aee94253bf21d9b","7aee94253bf21d9b06042363b725ed0757e18cfb7353955408b5a5332da7671f","DISC-G2-A1-LB-L0002","g2/a1/lb|Schokolade|idx:520|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Schokolade|idx:520","lv","šokolāde","Schokolade","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Schokolade|idx:520 / lv: exact Luxembourgish wording for German 'Schokolade' (Latvian 'šokolāde') is not established by the supplied evidence; production currently has 'CAA -' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
