review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"b94ef3096b3f4b09","b94ef3096b3f4b09428aae97a8b10989070e26b60729b8f0fe6c5c35546b78d8","DISC-G2-A1-BS-L0008","g2/a1/bs|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bs","SRC-LV-db45ca90da527da9","crowdin-staging/g2/bs-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","e-mail","e-mail","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"1ac758e3dba16177","1ac758e3dba16177a5ff34f90a872d69c411dc845d9ea3389b56828150805313","DISC-G2-A1-CS-L0008","g2/a1/cs|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","cs","SRC-LV-db45ca90da527da9","crowdin-staging/g2/cs-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","E-mail","E-mail","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","LOW","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"df05835849b8d151","df05835849b8d151662c048732dba0bf74e94bf21ed72c266888e056a99158d1","DISC-G2-A1-FR-L0008","g2/a1/fr|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","fr","SRC-LV-db45ca90da527da9","crowdin-staging/g2/fr-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","E-mail","E-mail","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"08e562711968714e","08e562711968714eede3bed2200229fc52f9a58cb7803464491d84696de537a3","DISC-G2-A1-HU-L0008","g2/a1/hu|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","hu","SRC-LV-db45ca90da527da9","crowdin-staging/g2/hu-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","Email","Email","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"b98feedd4a5788f8","b98feedd4a5788f8288037dd83e9103a6d269908c4a8cbf66430cda8f3c2d38a","DISC-G2-A1-LT-L0008","g2/a1/lt|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","lt","SRC-LV-db45ca90da527da9","crowdin-staging/g2/lt-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","el. paštas","el. paštas","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"754edfd50c4bd381","754edfd50c4bd381af74dd5a74fed5b0fec6a0d2c9aeeb0e3f6d1696b3f533bd","DISC-G2-A1-SL-L0008","g2/a1/sl|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","sl","SRC-LV-db45ca90da527da9","crowdin-staging/g2/sl-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","e-pošta","e-pošta","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"90ffae5e12122312","90ffae5e12122312e63de56a20bfc7deeb46bb03ad396731014549a44944af23","DISC-G2-A1-TR-L0008","g2/a1/tr|E-Mail|idx:159|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","tr","SRC-LV-db45ca90da527da9","crowdin-staging/g2/tr-a1.json","E-Mail|idx:159","lv","e-pasts","E-Mail","","E-posta","E-posta","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"3fe065ed81328643","3fe065ed81328643a5e5adc24b0d54ebd4b59539a4416db6de574295be4451dd","DISC-G2-A1-FI-L0004","g2/a1/fi|unter|idx:615|lv/study|SOURCE_LV_ISSUE|gpt-5.6-luna","fi","SRC-LV-db8b75305d44cd5b","crowdin-staging/g2/fi-a1.json","unter|idx:615","lv/study","zem","unter","","{""lv"":""All"",""study.translation"":""All"",""study.explanation"":""[\""Põhiidee: unter tähendab olenevalt kontekstist all või seas.\"",\""Kui miski asub laua, tooli või mõne muu eseme all, kasutatakse unter.\"",\""Kui jutt on inimeste rühmast, võib unter tähendada seas.\"",\""See on sõna über vastand, kui jutt on suunast üles/alla.\""]"",""study.examples"":""[{\""de\"":\""Die Tasche ist unter dem Tisch.\"",\""lv\"":\""Kott on laua all.\""},{\""de\"":\""Die Katze liegt unter dem Stuhl.\"",\""lv\"":\""Kass lamab tooli all.\""},{\""de\"":\""Unter Freunden sagt man das so.\"",\""lv\"":\""Sõprade seas öeldakse nii.\""},{\""de\"":\""Die Lampe hängt über dem Tisch.\"",\""lv\"":\""Lamp ripub laua kohal.\""}]"",""study.comparison"":""[{\""word\"":\""unter\"",\""meaning\"":\""All / seas\"",\""example\"":\""Die Tasche ist unter dem Tisch.\""},{\""word\"":\""über\"",\""meaning\"":\""Kohal / kohta\"",\""example\"":\""Die Lampe hängt über dem Tisch.\""},{\""word\"":\""zwischen\"",\""meaning\"":\""Kahe asja vahel\"",\""example\"":\""Zwischen den Häusern.\""},{\""word\"":\""auf\"",\""meaning\"":\""Pinnal\"",\""example\"":\""Auf dem Tisch.\""}]"",""study.tip"":""{\""text\"":\""Atceries: zem galda → unter dem Tisch.\""}"",""study.important"":""[\""unter voi myös tarkoittaa \\\""joukossa\\\"", erityisesti ihmisten tai ryhmien kanssa.\"",\""unter ja über ovat usein vastakohtia paikan merkityksessä.\""]""}","{""lv"":""All"",""study.translation"":""All"",""study.explanation"":""[\""Põhiidee: unter tähendab olenevalt kontekstist all või seas.\"",\""Kui miski asub laua, tooli või mõne muu eseme all, kasutatakse unter.\"",\""Kui jutt on inimeste rühmast, võib unter tähendada seas.\"",\""See on sõna über vastand, kui jutt on suunast üles/alla.\""]"",""study.examples"":""[{\""de\"":\""Die Tasche ist unter dem Tisch.\"",\""lv\"":\""Kott on laua all.\""},{\""de\"":\""Die Katze liegt unter dem Stuhl.\"",\""lv\"":\""Kass lamab tooli all.\""},{\""de\"":\""Unter Freunden sagt man das so.\"",\""lv\"":\""Sõprade seas öeldakse nii.\""},{\""de\"":\""Die Lampe hängt über dem Tisch.\"",\""lv\"":\""Lamp ripub laua kohal.\""}]"",""study.comparison"":""[{\""word\"":\""unter\"",\""meaning\"":\""All / seas\"",\""example\"":\""Die Tasche ist unter dem Tisch.\""},{\""word\"":\""über\"",\""meaning\"":\""Kohal / kohta\"",\""example\"":\""Die Lampe hängt über dem Tisch.\""},{\""word\"":\""zwischen\"",\""meaning\"":\""Kahe asja vahel\"",\""example\"":\""Zwischen den Häusern.\""},{\""word\"":\""auf\"",\""meaning\"":\""Pinnal\"",\""example\"":\""Auf dem Tisch.\""}]"",""study.tip"":""{\""text\"":\""Atceries: zem galda → unter dem Tisch.\""}"",""study.important"":""[\""unter voi myös tarkoittaa \\\""joukossa\\\"", erityisesti ihmisten tai ryhmien kanssa.\"",\""unter ja über ovat usein vastakohtia paikan merkityksessä.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","NELABOT","","SOURCE_LV_VALID_COMPOSITE: reviewed against the DE reference; the Latvian source content is semantically consistent. No LV master change."
"7d1d4ebf0006aaa3","7d1d4ebf0006aaa35dc404a2abe1596842eeecc2ca3d8a7b70aca826c3afa9ab","DISC-G2-A1-BG-L0014","g2/a1/bg|zwischen|idx:684|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bg","SRC-LV-db96c6f649fe883f","crowdin-staging/g2/bg-a1.json","zwischen|idx:684","lv","starp","zwischen","","Между","Между","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
"0aba5db239911a70","0aba5db239911a70825491c435d6996e2c8713450ae2100fd0232929725a4e79","DISC-G2-A1-BS-L0014","g2/a1/bs|zwischen|idx:684|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bs","SRC-LV-db96c6f649fe883f","crowdin-staging/g2/bs-a1.json","zwischen|idx:684","lv","starp","zwischen","","između","između","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","SOURCE_LV_VALID: reviewed against the DE reference; the Latvian source is an acceptable A1 rendering. No LV master change."
