review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,owner_status,owner_decision,owner_new,owner_note
"6503109d80389d92","6503109d80389d929630fffdb8d0ed22cc5ebb9466916c90147c86494af7376a","DISC-G2-A1-LT-L0002","g2/a1/lt|laufen|idx:357|lv, study.*|SOURCE_LV_ISSUE|gpt-5.6-luna","lt","SRC-LV-d0fab67c5a0578fc","crowdin-staging/g2/lt-a1.json","laufen|idx:357","lv, study.*","skriet • darboties","laufen","","bėgti • veikti","bėgti • veikti","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"7f69698c4443f0a1","7f69698c4443f0a117665102eb01df5a29c33d39ad28b5c71caf7f9b54189d9b","DISC-G2-A1-RU-L0001","g2/a1/ru|haben|idx:261|lv/study|SOURCE_LV_ISSUE|gpt-5.6-luna","ru","SRC-LV-d12a106b7294d491","crowdin-staging/g2/ru-a1.json","haben|idx:261","lv/study","man ir","haben","","","","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","FIELD_NOT_FOUND","PENDING","","",""
"d9a60d93ee10449c","d9a60d93ee10449c89634932fb3aabce4a32b2d439432d950ec62a1c8b21fe41","DISC-G2-A1-HR-L0002","g2/a1/hr|nach|idx:426|lv, study.translation, study.explanation, study.examples, study.comparison, study.tip, study.important|SOURCE_LV_ISSUE|gpt-5.6-luna","hr","SRC-LV-d15c973ce92e97fd","crowdin-staging/g2/hr-a1.json","nach|idx:426","lv, study.translation, study.explanation, study.examples, study.comparison, study.tip, study.important","uz • pēc","nach","","Преди • След","Преди • След","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"adfc168086af633d","adfc168086af633dfccbc005971ad4fa3b51a0b33d0d7ea2535f764f19e57237","DISC-G2-A1-HR-L0004","g2/a1/hr|es|idx:167|study.examples[*].lv; lv; study.translation|SOURCE_LV_ISSUE|gpt-5.6-luna","hr","SRC-LV-d17dae16de3c3524","crowdin-staging/g2/hr-a1.json","es|idx:167","study.examples[*].lv; lv; study.translation","tas","es","","","","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","FIELD_NOT_FOUND","PENDING","","",""
"6ce6d1bc24779948","6ce6d1bc24779948631610f7b8539a04616a8b5d02fe971a7006c5d9b76fd7d5","DISC-G2-A1-BS-L0002","g2/a1/bs|Bitte|idx:94|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bs","SRC-LV-d187a3125c87d29d","crowdin-staging/g2/bs-a1.json","Bitte|idx:94","lv","","Bitte","","","","N/A","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","TARGET_NOT_FOUND","PENDING","","",""
"7e0dac3ac99d652d","7e0dac3ac99d652d2580d2164c847c425fa0d75c107cd7191082e3986f436539","DISC-G2-A1-BS-L0005","g2/a1/bs|Antwort|idx:35|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bs","SRC-LV-d279f725a3c5f1c1","crowdin-staging/g2/bs-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","odgovor","odgovor","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"226afe65ed92daeb","226afe65ed92daeb3a53c329f1858c74f5fc91882f68231515b418136670a2f3","DISC-G2-A1-DA-L0005","g2/a1/da|Antwort|idx:35|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","da","SRC-LV-d279f725a3c5f1c1","crowdin-staging/g2/da-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","Svaret","Svaret","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"774e95f45ba60a31","774e95f45ba60a313e3988fbe5c32e96cfc9369ce8f9f48a335ea6fd229ef7af","DISC-G2-A1-ES-L0005","g2/a1/es|Antwort|idx:35|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","es","SRC-LV-d279f725a3c5f1c1","crowdin-staging/g2/es-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","la respuesta","la respuesta","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"6dbb65fd24b478f0","6dbb65fd24b478f0647fd6b99f5fae23e5df44802bba94308fd2082028826d79","DISC-G2-A1-ET-L0005","g2/a1/et|Antwort|idx:35|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","et","SRC-LV-d279f725a3c5f1c1","crowdin-staging/g2/et-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","vastus","vastus","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"73df5c54e864c0a4","73df5c54e864c0a4aef22001035f776be26223c296b03a88ddb459dc5c7fc8db","DISC-G2-A1-FI-L0005","g2/a1/fi|Antwort|idx:35|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","fi","SRC-LV-d279f725a3c5f1c1","crowdin-staging/g2/fi-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","Vastus","Vastus","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
"178a5247ae58b6b9","178a5247ae58b6b982f65cd59375e28a67b28380bafbc9059ebe08b32b6e5a4d","DISC-G2-A1-MK-L0005","g2/a1/mk|Antwort|idx:35|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","mk","SRC-LV-d279f725a3c5f1c1","crowdin-staging/g2/mk-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","Одговори","Одговори","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","PENDING","","",""
