escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-060","BATCH-217","26055a29fdabc030","26055a29fdabc03073189578ba6dedef6748b2e4e873c6a29751c68be808d430","G2A1P3-PL-0104","g2/a1/pl|a1-nehmen|a1.card.a1-nehmen.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-nehmen","a1.card.a1-nehmen.native","ņemt • paņemt","nehmen","Brać • Brać","Brać • Brać","Brać • Brać","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-nehmen.native mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Brać • Brać"" de_reference=""nehmen"""
"ESC-060","BATCH-217","9c33329f93270873","9c33329f932708735771471f2b3e2f6629026d72a3a26b6478b43f8d9fac06f7","G2A1P3-PL-0105","g2/a1/pl|a1-nehmen|a1.card.a1-nehmen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-nehmen","a1.card.a1-nehmen.study.translation","ņemt • paņemt","nehmen","Brać • Brać","Brać • Brać","Brać • Brać","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-nehmen.study.translation mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Brać • Brać"" de_reference=""nehmen"""
"ESC-060","BATCH-217","86a6ec666ee83268","86a6ec666ee83268de961f0f3e6f2ebc09ae57c12efd72b121fd4564ab614e4a","G2A1P3-PL-0106","g2/a1/pl|a1-neu|a1.card.a1-neu.study.explanation[5]|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-neu","a1.card.a1-neu.study.explanation[5]","Pretstats ir alt (vecs); lietvārds das Neue nozīmē jaunumu.","neu","Przeciwieństwem jest alt (stary) • Rzeczownik das Neue oznacza nowy.","Przeciwieństwem jest alt (stary) • Rzeczownik das Neue oznacza nowy.","Przeciwieństwem jest alt (stary) • Rzeczownik das Neue oznacza nowy.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-neu.study.explanation[5] mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Przeciwieństwem jest alt (stary) • Rzeczownik das Neue oznacza nowy."" de_reference=""neu"""
"ESC-060","BATCH-217","3efff2df7f6c8e18","3efff2df7f6c8e1864968d3f68ad5fc1001b19d76289a37d68a2bd9e3c68c92b","G2A1P3-PL-0107","g2/a1/pl|a1-nur-study|a1.card.a1-nur-study.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-nur-study","a1.card.a1-nur-study.native","tikai • vienīgi","nur","Tylko • Tylko","Tylko • Tylko","Tylko • Tylko","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-nur-study.native mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Tylko • Tylko"" de_reference=""nur"""
"ESC-060","BATCH-217","86a3991e4db38612","86a3991e4db3861292f4ea18ac51c738b807cfd4f29c5f9f9533bf33a3d27dba","G2A1P3-PL-0108","g2/a1/pl|a1-nur-study|a1.card.a1-nur-study.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-nur-study","a1.card.a1-nur-study.study.translation","tikai • vienīgi","nur","Tylko • Tylko","Tylko • Tylko","Tylko • Tylko","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-nur-study.study.translation mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Tylko • Tylko"" de_reference=""nur"""
"ESC-060","BATCH-218","e520e6365ab69335","e520e6365ab693359bbb3b08f8e483e79f84db85ae4486c051173ba2f992a90a","G2A1P3-PL-0109","g2/a1/pl|a1-oder|a1.card.a1-oder.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-oder","a1.card.a1-oder.native","vai • jeb","oder","Lub • Lub","Lub • Lub","Lub • Lub","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-oder.native mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Lub • Lub"" de_reference=""oder"""
"ESC-060","BATCH-217","423010097e086493","423010097e0864934fd51bd617041e4e88153f05528e74aa3d7071d84b088929","G2A1P3-PL-0110","g2/a1/pl|a1-oder|a1.card.a1-oder.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-oder","a1.card.a1-oder.study.translation","vai • jeb","oder","Lub • Lub","Lub • Lub","Lub • Lub","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-oder.study.translation mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Lub • Lub"" de_reference=""oder"""
"ESC-060","BATCH-217","b351a2d22129f947","b351a2d22129f9479f8929128a74036165acf82f4993f55ea7c3347b8a560a06","G2A1P3-PL-0111","g2/a1/pl|a1-passen|a1.card.a1-passen.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-passen","a1.card.a1-passen.native","derēt • piestāvēt","passen","Pasuje • Pasuje","Pasuje • Pasuje","Pasuje • Pasuje","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-passen.native mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Pasuje • Pasuje"" de_reference=""passen"""
"ESC-060","BATCH-218","e70c14343425532e","e70c14343425532e27e57a680572d4ae32aabe2f3ebd966bfbbca3fc4645a96e","G2A1P3-PL-0112","g2/a1/pl|a1-passen|a1.card.a1-passen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-passen","a1.card.a1-passen.study.translation","derēt • piestāvēt","passen","Pasuje • Pasuje","Pasuje • Pasuje","Pasuje • Pasuje","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-passen.study.translation mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Pasuje • Pasuje"" de_reference=""passen"""
"ESC-060","BATCH-217","2c3b710189a5f8e6","2c3b710189a5f8e64c18cecf1dabbdef3f2628a645c49bbeb93a1d2e9bfa41c3","G2A1P3-PL-0113","g2/a1/pl|a1-probieren|a1.card.a1-probieren.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-probieren","a1.card.a1-probieren.native","izmēģināt • nogaršot","probieren","Spróbować • Skosztować","Spróbować • Skosztować","Spróbować • Skosztować","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","","MULTI_TRANSLATION_VALID: post_crowdin_state=UNCHANGED_SINCE_DISCOVERY; scalar field mapped exactly; production value unchanged since discovery; reviewed target variants are semantically compatible with the DE reference; no COPY-ONLY correction authorized. lang=pl field=a1.card.a1-probieren.native mapping=EXACT_FIELD post_crowdin=UNCHANGED_SINCE_DISCOVERY bucket=MULTI_TRANSLATION_REVIEW_REQUIRED production_current=""Spróbować • Skosztować"" de_reference=""probieren"""
