escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-054","BATCH-114","9f900c1eddff0f9e","9f900c1eddff0f9eee1fbbe686353862834d0024335512553c9f2066b7226176","DISC-G2-A1-NN-L0003","g2/a1/nn|an|idx:12|lv, study.translation, study.explanation, study.examples, study.comparison|LANGUAGE_CONTAMINATION|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","an|idx:12","lv, study.translation, study.explanation, study.examples, study.comparison","pie","an","","{""lv"":""Juures • Peal • Ligi"",""study.translation"":""Juures • Pinna vääres • Server vääres"",""study.explanation"":""Kasutatakse, kui miski asub seina, akna, ukse, gejeu, mereranna või akko muu ääure/pinna kureus."",""study.examples"":""[{\""de\"":\""an der Wand\"",\""lv\"":\""Seina dyllus / not\""},{\""de\"":\""am Fenster\"",\""lv\"":\""Akne rot\""},{\""de\"":\""am Meer\"",\""lv\"":\""Flere ääres\""}]"",""study.comparison"":""[{\""word\"":\""an\"",\""meaning\"":\""Pinna või serva vueras\"",\""example\"":\""an der Wand – Signal\""},{\""word\"":\""auf\"",\""meaning\"":\""Horisontal pinnal\"",\""example\"":\""auf dem Tisch – Lovlig\""},{\""word\"":\""bei\"",\""meaning\"":\""Isiku või koha kureus\"",\""example\"":\""beim Arzt – Lege i medisin\""}]""}","{""lv"":""Juures • Peal • Ligi"",""study.translation"":""Juures • Pinna vääres • Server vääres"",""study.explanation"":""Kasutatakse, kui miski asub seina, akna, ukse, gejeu, mereranna või akko muu ääure/pinna kureus."",""study.examples"":""[{\""de\"":\""an der Wand\"",\""lv\"":\""Seina dyllus / not\""},{\""de\"":\""am Fenster\"",\""lv\"":\""Akne rot\""},{\""de\"":\""am Meer\"",\""lv\"":\""Flere ääres\""}]"",""study.comparison"":""[{\""word\"":\""an\"",\""meaning\"":\""Pinna või serva vueras\"",\""example\"":\""an der Wand – Signal\""},{\""word\"":\""auf\"",\""meaning\"":\""Horisontal pinnal\"",\""example\"":\""auf dem Tisch – Lovlig\""},{\""word\"":\""bei\"",\""meaning\"":\""Isiku või koha kureus\"",\""example\"":\""beim Arzt – Lege i medisin\""}]""}","PASS","","LANGUAGE_CONTAMINATION","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","Individually reviewed nn composite row for “an” (lv, study.translation, study.explanation, study.examples, study.comparison) against Latvian “pie”. Production begins “{""lv"":""Juures • Peal • Ligi"",""study.translation"":""Juures • Pinna vääres • Server vääres"",""study.explanation"":""Kasutatak…”. The row spans several independently editable fields, so one scalar owner_new would be unsafe; keep PENDING until the listed subfields are reviewed and represented separately."
"ESC-054","BATCH-115","c68bb3d4e6efeea5","c68bb3d4e6efeea5c19b1a82564d11d134ca4501009797b6357e49064bba04e6","DISC-G2-A1-NN-L0013","g2/a1/nn|anders|idx:15|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","anders|idx:15","lv","citādi","anders","","Teisiti","Teisiti","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Annleis","Individually reviewed nn lemma “anders” against Latvian “citādi”: production “Teisiti” is not the required nn gloss; replace this exact lv field with “Annleis”."
"ESC-054","BATCH-115","d50ef107920a77d6","d50ef107920a77d6be22a3245d6d4933f2420e265e25229df5145919d25fba05","DISC-G2-A1-NN-L0011","g2/a1/nn|Anfang|idx:13|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Anfang|idx:13","lv","sākums","Anfang","","Algus","Algus","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Byrjing","Individually reviewed nn lemma “Anfang” against Latvian “sākums”: production “Algus” is not the required nn gloss; replace this exact lv field with “Byrjing”."
"ESC-054","BATCH-114","b33f904f86a4ea4b","b33f904f86a4ea4ba183905857f04e5d9ae623c0daa4a4576b14eba8be20dc2f","DISC-G2-A1-NN-L0012","g2/a1/nn|anfangen|idx:14|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","anfangen|idx:14","lv","sākt","anfangen","","Alustama","Alustama","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Byrje","Individually reviewed nn lemma “anfangen” against Latvian “sākt”: production “Alustama” is not the required nn gloss; replace this exact lv field with “Byrje”."
"ESC-054","BATCH-115","c561c023228dc15c","c561c023228dc15c58d45b670b82f924a121edbe65047152f33ef30b424d626f","DISC-G2-A1-NN-L0003","g2/a1/nn|angenehm|idx:33|lv|TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","angenehm|idx:33","lv","patīkams","angenehm","","Meeldiv","Meeldiv","PASS","","TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Behageleg","Individually reviewed nn lemma “angenehm” against Latvian “patīkams”: production “Meeldiv” is not the required nn gloss; replace this exact lv field with “Behageleg”."
"ESC-054","BATCH-115","cd541df9272a8c0c","cd541df9272a8c0cb58be0bb816bd8c019b36314f298b4790b958a6718aec0aa","DISC-G2-A1-NN-L0002","g2/a1/nn|Angst|idx:32|lv|TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Angst|idx:32","lv","bailes","Angst","","Hirm","Hirm","PASS","","TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Redsle","Individually reviewed nn lemma “Angst” against Latvian “bailes”: production “Hirm” is not the required nn gloss; replace this exact lv field with “Redsle”."
"ESC-054","BATCH-112","194c957bc55bf6a5","194c957bc55bf6a5cae659b59bae083fa780c5777b097a4f9b1085da1c3ef620","DISC-G2-A1-NN-L0001","g2/a1/nn|anhalten|idx:31|lv|TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","anhalten|idx:31","lv","apstāties","anhalten","","Peatuma","Peatuma","PASS","","TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Stoppe","Individually reviewed nn lemma “anhalten” against Latvian “apstāties”: production “Peatuma” is not the required nn gloss; replace this exact lv field with “Stoppe”."
"ESC-054","BATCH-112","26e5bbf4f14fd628","26e5bbf4f14fd628e84b77b7cd17715351bb0d5ee5e50c204534d3fdfccf7046","DISC-G2-A1-NN-L0022","g2/a1/nn|ankommen|idx:28|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","ankommen|idx:28","lv","ierasties","ankommen","","Saabuma","Saabuma","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Kome fram","Individually reviewed nn lemma “ankommen” against Latvian “ierasties”: production “Saabuma” is not the required nn gloss; replace this exact lv field with “Kome fram”."
"ESC-054","BATCH-113","655fbb6b9e2a71cd","655fbb6b9e2a71cd24b30a10f4734c0fb1d4ae2bb0e6a046862043617417e752","DISC-G2-A1-NN-L0014","g2/a1/nn|anrufen|idx:16|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","anrufen|idx:16","lv","zvanīt","anrufen","","Helistama","Helistama","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Ringje","Individually reviewed nn lemma “anrufen” against Latvian “zvanīt”: production “Helistama” is not the required nn gloss; replace this exact lv field with “Ringje”."
"ESC-054","BATCH-112","01eee180694f76a8","01eee180694f76a89e4a131f06c2b16541b9355af13a3ef0313be6b5dc0012d7","DISC-G2-A1-NN-L0004","g2/a1/nn|Antenne|idx:34|lv|TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Antenne|idx:34","lv","antena","Antenne","","Antenne","Antenne","PASS","","TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","Individually reviewed nn lemma “Antenne” against Latvian “antena”: production “Antenne” is the same verified nn lexical form “Antenne”; no correction is needed."
"ESC-054","BATCH-115","e35952608d943f61","e35952608d943f6195dcf381ed7e418c70b9411cf79abd029c2e9c8b62ae6021","DISC-G2-A1-NN-L0005","g2/a1/nn|Antwort|idx:35|lv|TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Antwort|idx:35","lv","atbilde","Antwort","","Vastus","Vastus","PASS","","TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","Svar","Individually reviewed nn lemma “Antwort” against Latvian “atbilde”: production “Vastus” is not the required nn gloss; replace this exact lv field with “Svar”."
