escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-017","BATCH-088","0d2e1c0bfe432394","0d2e1c0bfe43239402f145f4aa88eb25bfc3fe1ea63d3f0da7810f60f359a0de","DISC-G2-A1-HR-L0002","g2/a1/hr|Reis|idx:496|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Reis|idx:496","lv","rīsi","Reis","","Rice.","Rice.","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","riža","Individuāli pārskatīts hr/Reis pret LV 'rīsi': pašreizējais 'Rice.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'riža'."
"ESC-017","BATCH-092","f4b5bb67f2562e96","f4b5bb67f2562e966560d91e31d510489e2901c662a3a71d98fc00749956b626","DISC-G2-A1-HR-L0006","g2/a1/hr|richtig|idx:497|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","richtig|idx:497","lv","pareizs","richtig","","Правилно","Правилно","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","točan","Individuāli pārskatīts hr/richtig pret LV 'pareizs': pašreizējais 'Правилно' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'točan'."
"ESC-017","BATCH-092","f577a869ca5c7f9f","f577a869ca5c7f9f196b931a570267f4a2407beb3f8a9f8343c2e8a0a100a3ad","DISC-G2-A1-HR-L0007","g2/a1/hr|rosa|idx:498|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","rosa|idx:498","lv","rozā","rosa","","Розово","Розово","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","ružičast","Individuāli pārskatīts hr/rosa pret LV 'rozā': pašreizējais 'Розово' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'ružičast'."
"ESC-017","BATCH-091","b39272b12853df5e","b39272b12853df5ec36bbc0ad90b52b8cf9425464398180efebe6f6a1f6a2b41","DISC-G2-A1-HR-L0011","g2/a1/hr|Rose|idx:502|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Rose|idx:502","lv","roze","Rose","","Rosa.","Rosa.","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","ruža","Individuāli pārskatīts hr/Rose pret LV 'roze': pašreizējais 'Rosa.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'ruža'."
"ESC-017","BATCH-088","1781bf065b59a53d","1781bf065b59a53dedc35871f490f86080469f78bcedf0759b674da3b0f45afb","DISC-G2-A1-HR-L0008","g2/a1/hr|rot|idx:499|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","rot|idx:499","lv","sarkans","rot","","Црвено","Црвено","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","crven","Individuāli pārskatīts hr/rot pret LV 'sarkans': pašreizējais 'Црвено' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'crven'."
"ESC-017","BATCH-162","1eca246d9861e554","1eca246d9861e554d16912978e623db9bac495f21edc801e146349eb2b465bd5","DISC-G2-A1-HR-L0009","g2/a1/hr|rufen|idx:500|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","rufen|idx:500","lv","saukt","rufen","","Јавете ми се","Јавете ми се","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","LABOT","zvati","Individuāli pārskatīts hr/rufen pret LV 'saukt': pašreizējais 'Јавете ми се' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'zvati'."
"ESC-017","BATCH-091","99722f566f5a3345","99722f566f5a3345e0709b49f3b7847e0e2b15ea4569136a348eccc1d49b381a","DISC-G2-A1-HR-L0010","g2/a1/hr|rund|idx:501|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","rund|idx:501","lv","apaļš","rund","","Okrugli","Okrugli","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","okrugao","Individuāli pārskatīts hr/rund pret LV 'apaļš': pašreizējais 'Okrugli' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'okrugao'."
"ESC-017","BATCH-163","f097136f83abaf21","f097136f83abaf21777b19c1d20a66dab2c84c322a3d91f7980ee2deaf6c6923","DISC-G2-A1-HR-L0012","g2/a1/hr|Sache|idx:503|lv|MISTRANSLATION|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Sache|idx:503","lv","lieta","Sache","","Нешто","Нешто","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","LABOT","stvar","Individuāli pārskatīts hr/Sache pret LV 'lieta': pašreizējais 'Нешто' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'stvar'."
"ESC-017","BATCH-092","e16aa61051424876","e16aa61051424876215428da1edd44b6024474c792e1e9ed1715710fe89dc97d","DISC-G2-A1-HR-L0013","g2/a1/hr|Saft|idx:504|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Saft|idx:504","lv","sula","Saft","","Сок","Сок","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","sok","Individuāli pārskatīts hr/Saft pret LV 'sula': pašreizējais 'Сок' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'sok'."
"ESC-017","BATCH-089","2d04e307e679e716","2d04e307e679e716d5c92e77e13b6813152f7178d4029cac0e9ec75c0e86adb4","DISC-G2-A1-HR-L0003","g2/a1/hr|sagen|idx:505|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","sagen|idx:505","lv","teikt","sagen","","Кажи","Кажи","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","reći","Individuāli pārskatīts hr/sagen pret LV 'teikt': pašreizējais 'Кажи' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'reći'."
