source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-180","90a27e0303f4f3d2","90a27e0303f4f3d26a978fde6ff0a89b9a2f86792ae7d952da40f025edcdc967","DISC-G2-A1-SK-L0024","g2/a1/sk|lesen|idx:369|lv|MISTRANSLATION|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","lesen|idx:369","lv","lasīt","lesen","","Na čítanie","Na čítanie","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING: individuāli salīdzināts sk lauks lv kartītē lesen|idx:369; production “Na čítanie” pret LV “lasīt” un DE “lesen”. Nepieciešams mērķvalodas OWNER formulējums, jo avotā nav droša proposed vērtība.","SEMANTIC_MEANING_REVIEW_REQUIRED",""
"BATCH-179","02286fc5f74b78f8","02286fc5f74b78f8ddd574de4bb395ec059d14ce343694f214af0105e64b3c4b","DISC-G2-A1-SK-L0001","g2/a1/sk|lieb|idx:373|lv|MISTRANSLATION|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","lieb|idx:373","lv","mīļš","lieb","","Vážení","Vážení","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING: individuāli salīdzināts sk lauks lv kartītē lieb|idx:373; production “Vážení” pret LV “mīļš” un DE “lieb”. Nepieciešams mērķvalodas OWNER formulējums, jo avotā nav droša proposed vērtība.","SEMANTIC_MEANING_REVIEW_REQUIRED",""
"BATCH-187","ad29d5b0925521c1","ad29d5b0925521c125de6fb0d6d1408f9a54ca1816a04b28983bd8ab0927b2bb","DISC-G2-A1-SK-L0002","g2/a1/sk|lieben|idx:375|lv|PART_OF_SPEECH|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","lieben|idx:375","lv","mīlēt","lieben","","Láska","Láska","PASS","","PART_OF_SPEECH","GRAMMAR_MORPHOLOGY_OR_FORM","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING: individuāli salīdzināts sk lauks lv kartītē lieben|idx:375; production “Láska” pret LV “mīlēt” un DE “lieben”. Nepieciešams mērķvalodas OWNER formulējums, jo avotā nav droša proposed vērtība.","OTHER_OWNER_REVIEW_REQUIRED",""
"BATCH-180","c3d285dca8b9609b","c3d285dca8b9609bbaa6803641c231e2b76c0c926575d515ef3c7e9896a825bf","DISC-G2-A1-SK-L0002","g2/a1/sk|liegen|idx:377|translation; study.explanation; study.examples; study.tip; study.sectionAccents|TRANSLATION_ERROR|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","liegen|idx:377","translation; study.explanation; study.examples; study.tip; study.sectionAccents","atrasties • gulēt","liegen","","{""translation"":""Buďte • Spať"",""study.explanation"":""[\""Hlavná myšlienka: Liegen znamená ležať alebo ležať vodorovne.\"",\""Pre ľudí klamstvo často znamená spánok.\"",\""Liegen v istom zmysle znamená, že je niekde vonku.\"",\""Je to iné ako legen, čo znamená odložiť niečo bokom.\""]"",""study.examples"":""[{\""de\"":\""Das Buch liegt auf dem Tisch.\"",\""lv\"":\""Kniha je na stole.\""},{\""de\"":\""Mein Handy liegt im Auto.\"",\""lv\"":\""Môj telefón je v aute.\""},{\""de\"":\""Er liegt im Bett.\"",\""lv\"":\""Spí v posteli.\""},{\""de\"":\""Ich lege das Buch auf den Tisch.\"",\""lv\"":\""Knihu som položil na stôl.\""}]"",""study.tip"":""{\""text\"":\""Pamätajte: vec je už na svojom mieste → Liegen • Odložíte → legen.\""}"",""study.sectionAccents"":""{\""explanation\"":{\""blue\"":[\""liegen\"",\""legen\""],\""yellow\"":[\""Liegen\""]},\""examples\"":[{\""de\"":{\""blue\"":[\""liegt\""],\""yellow\"":[\""Buch\"",\""Tisch\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""liegt\""],\""yellow\"":[\""Handy\"",\""Auto\""]},\""lv\"":{\""yellow\"":[\""telefon\""]}},{\""de\"":{\""blue\"":[\""liegt\""],\""green\"":[\""Bett\""]},\""lv\"":{}},{\""de\"":{\""red\"":[\""lege\""],\""yellow\"":[\""Buch\"",\""Tisch\""]},\""lv\"":{}}],\""comparison\"":[{\""word\"":{\""green\"":[\""liegen\""]},\""meaning\"":{},\""example\"":{}},{\""word\"":{\""green\"":[\""legen\""]},\""meaning\"":{},\""example\"":{\""red\"":[\""lege\""]}},{\""word\"":{\""green\"":[\""stehen\""]},\""meaning\"":{\""purple\"":[\""Stojan\""]},\""example\"":{\""yellow\"":[\""steht\""]}},{\""word\"":{\""green\"":[\""sein\""]},\""meaning\"":{},\""example\"":{}}],\""tip\"":{\""left\"":{\""blue\"":[\""liegen\""],\""purple\"":[\""Pamätajte\""],\""red\"":[\""legen\""]}},\""important\"":[{\""blue\"":[\""liegen\""],\""purple\"":[\""Liegen\""]},{\""red\"":[\""legen\""]}]}""}","{""translation"":""Buďte • Spať"",""study.explanation"":""[\""Hlavná myšlienka: Liegen znamená ležať alebo ležať vodorovne.\"",\""Pre ľudí klamstvo často znamená spánok.\"",\""Liegen v istom zmysle znamená, že je niekde vonku.\"",\""Je to iné ako legen, čo znamená odložiť niečo bokom.\""]"",""study.examples"":""[{\""de\"":\""Das Buch liegt auf dem Tisch.\"",\""lv\"":\""Kniha je na stole.\""},{\""de\"":\""Mein Handy liegt im Auto.\"",\""lv\"":\""Môj telefón je v aute.\""},{\""de\"":\""Er liegt im Bett.\"",\""lv\"":\""Spí v posteli.\""},{\""de\"":\""Ich lege das Buch auf den Tisch.\"",\""lv\"":\""Knihu som položil na stôl.\""}]"",""study.tip"":""{\""text\"":\""Pamätajte: vec je už na svojom mieste → Liegen • Odložíte → legen.\""}"",""study.sectionAccents"":""{\""explanation\"":{\""blue\"":[\""liegen\"",\""legen\""],\""yellow\"":[\""Liegen\""]},\""examples\"":[{\""de\"":{\""blue\"":[\""liegt\""],\""yellow\"":[\""Buch\"",\""Tisch\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""liegt\""],\""yellow\"":[\""Handy\"",\""Auto\""]},\""lv\"":{\""yellow\"":[\""telefon\""]}},{\""de\"":{\""blue\"":[\""liegt\""],\""green\"":[\""Bett\""]},\""lv\"":{}},{\""de\"":{\""red\"":[\""lege\""],\""yellow\"":[\""Buch\"",\""Tisch\""]},\""lv\"":{}}],\""comparison\"":[{\""word\"":{\""green\"":[\""liegen\""]},\""meaning\"":{},\""example\"":{}},{\""word\"":{\""green\"":[\""legen\""]},\""meaning\"":{},\""example\"":{\""red\"":[\""lege\""]}},{\""word\"":{\""green\"":[\""stehen\""]},\""meaning\"":{\""purple\"":[\""Stojan\""]},\""example\"":{\""yellow\"":[\""steht\""]}},{\""word\"":{\""green\"":[\""sein\""]},\""meaning\"":{},\""example\"":{}}],\""tip\"":{\""left\"":{\""blue\"":[\""liegen\""],\""purple\"":[\""Pamätajte\""],\""red\"":[\""legen\""]}},\""important\"":[{\""blue\"":[\""liegen\""],\""purple\"":[\""Liegen\""]},{\""red\"":[\""legen\""]}]}""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","CRITICAL","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING: individuāli pārbaudīta sk kartīte liegen|idx:377, bet translation; study.explanation; study.examples; study.tip; study.sectionAccents aptver translation, study.explanation, study.examples, study.tip, study.sectionAccents; LV “atrasties • gulēt” un DE “liegen” nevar droši pārvērst vienā owner_new bez konkrētas apakšlauka adreses.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER",""
"BATCH-180","755e9f50a39a31ef","755e9f50a39a31ef6d1f87bafef42f736015052e97dcda1bbdfa1e4d6dd837d3","DISC-G2-A1-SK-L0003","g2/a1/sk|Lineal|idx:379|lv|MISTRANSLATION|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","Lineal|idx:379","lv","lineāls","Lineal","","Linka","Linka","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING: individuāli salīdzināts sk lauks lv kartītē Lineal|idx:379; production “Linka” pret LV “lineāls” un DE “Lineal”. Nepieciešams mērķvalodas OWNER formulējums, jo avotā nav droša proposed vērtība.","SEMANTIC_MEANING_REVIEW_REQUIRED",""
"BATCH-222","6c6cd25d6e6b17f1","6c6cd25d6e6b17f1e6c0f9e3a035b51ff86d8962a438f9da30760b243af16a68","G2A1P3-SK-0150","g2/a1/sk|links|a1.card.links.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","links","a1.card.links.native","pa kreisi • kreisais","links","Vľavo • Vľavo","Vľavo • Vľavo","Vľavo • Vľavo","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.links.native kartītē links: production “Vľavo • Vľavo”, LV “pa kreisi • kreisais”, DE “links”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-232","f9ba6f3f9d997c16","f9ba6f3f9d997c160a01b72a96b17fc12282bc14507afef7bde9527dd714f503","DISC-G2-A1-SK-L0004","g2/a1/sk|links|idx:380|lv|DUPLICATION|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","links|idx:380","lv","pa kreisi • kreisais","links","","Vľavo • Vľavo","Vľavo • Vľavo","PASS","","DUPLICATION","DUPLICATION","","LOW","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING: individuāli salīdzināts sk lauks lv kartītē links|idx:380; production “Vľavo • Vľavo” pret LV “pa kreisi • kreisais” un DE “links”. Nepieciešams mērķvalodas OWNER formulējums, jo avotā nav droša proposed vērtība.","OTHER_OWNER_REVIEW_REQUIRED",""
"BATCH-130","ccb09fe91c93c3d0","ccb09fe91c93c3d08ef1acb25ef2c1f580c7eba25832696113cd973ec1571993","DISC-G2-A1-SK-L0003","g2/a1/sk|Liter|idx:382|study.explanation; study.sectionAccents|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","Liter|idx:382","study.explanation; study.sectionAccents","litrs","Liter","","{""study.explanation"":""V Nemecku sa zvyčajne hovorí „der Liter“, ale v Rakúsku a Švajčiarsku môžete počuť aj „das Liter“. Množné číslo zostáva nezmenené: „die Liter“."",""study.sectionAccents"":""{\""explanation\"":{\""green\"":[\""der Liter\""],\""blue\"":[\""das Liter\""],\""purple\"":[\""die Liter\""]}}""}","{""study.explanation"":""V Nemecku sa zvyčajne hovorí „der Liter“, ale v Rakúsku a Švajčiarsku môžete počuť aj „das Liter“. Množné číslo zostáva nezmenené: „die Liter“."",""study.sectionAccents"":""{\""explanation\"":{\""green\"":[\""der Liter\""],\""blue\"":[\""das Liter\""],\""purple\"":[\""die Liter\""]}}""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING: individuāli pārbaudīta sk kartīte Liter|idx:382, bet study.explanation; study.sectionAccents aptver study.explanation, study.sectionAccents; LV “litrs” un DE “Liter” nevar droši pārvērst vienā owner_new bez konkrētas apakšlauka adreses.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER",""
"BATCH-180","ddcf6ae2ff25fe86","ddcf6ae2ff25fe86e69a273fdfb4bf27b337016122fa6938560d6d295d179623","DISC-G2-A1-SK-L0005","g2/a1/sk|lustig|idx:385|lv|MISTRANSLATION|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","lustig|idx:385","lv","jautrs","lustig","","Hra","Hra","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING: individuāli salīdzināts sk lauks lv kartītē lustig|idx:385; production “Hra” pret LV “jautrs” un DE “lustig”. Nepieciešams mērķvalodas OWNER formulējums, jo avotā nav droša proposed vērtība.","SEMANTIC_MEANING_REVIEW_REQUIRED",""
"BATCH-127","0b771e13b47099f9","0b771e13b47099f99eea20a9e6d6d76890baf471744c0de07e1f4664b2f812c1","DISC-G2-A1-SK-L0004","g2/a1/sk|machen|idx:386|translation; study.tip; study.sectionAccents|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","sk","","crowdin-staging/g2/sk-a1.json","machen|idx:386","translation; study.tip; study.sectionAccents","darīt • taisīt","machen","","{""translation"":""Robiť • Robiť"",""study.tip"":""{\""text\"":\""Atceries: Bol machst du? = Kto sa sem darí?\""}"",""study.sectionAccents"":""{\""explanation\"":{\""blue\"":[\""machen\""]},\""examples\"":[{\""de\"":{\""blue\"":[\""machst\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""mache\""],\""yellow\"":[\""Hausaufgaben\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""machen\""],\""yellow\"":[\""Pizza\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""macht Spaß\""]},\""lv\"":{}}],\""comparison\"":[{\""word\"":{},\""meaning\"":{},\""example\"":{}},{\""word\"":{},\""meaning\"":{},\""example\"":{}},{\""word\"":{},\""meaning\"":{},\""example\"":{}},{\""word\"":{},\""meaning\"":{},\""example\"":{}}],\""tip\"":{\""left\"":{\""blue\"":[\""Atceries\""],\""purple\"":[\""Atceries\""]}},\""important\"":[{\""blue\"":[\""machen\""]},{\""blue\"":[\""Das macht Spaß\""]}]}""}","{""translation"":""Robiť • Robiť"",""study.tip"":""{\""text\"":\""Atceries: Bol machst du? = Kto sa sem darí?\""}"",""study.sectionAccents"":""{\""explanation\"":{\""blue\"":[\""machen\""]},\""examples\"":[{\""de\"":{\""blue\"":[\""machst\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""mache\""],\""yellow\"":[\""Hausaufgaben\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""machen\""],\""yellow\"":[\""Pizza\""]},\""lv\"":{}},{\""de\"":{\""blue\"":[\""macht Spaß\""]},\""lv\"":{}}],\""comparison\"":[{\""word\"":{},\""meaning\"":{},\""example\"":{}},{\""word\"":{},\""meaning\"":{},\""example\"":{}},{\""word\"":{},\""meaning\"":{},\""example\"":{}},{\""word\"":{},\""meaning\"":{},\""example\"":{}}],\""tip\"":{\""left\"":{\""blue\"":[\""Atceries\""],\""purple\"":[\""Atceries\""]}},\""important\"":[{\""blue\"":[\""machen\""]},{\""blue\"":[\""Das macht Spaß\""]}]}""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING: individuāli pārbaudīta sk kartīte machen|idx:386, bet translation; study.tip; study.sectionAccents aptver translation, study.tip, study.sectionAccents; LV “darīt • taisīt” un DE “machen” nevar droši pārvērst vienā owner_new bez konkrētas apakšlauka adreses.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER",""
