source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,provenance_type
"BATCH-219","15302dfffd0572d7","15302dfffd0572d7c784cd5bda290a5559bc18c136b0941f7c95e84607a50989","G2A1P3-RO-0055","g2/a1/ro|a1-gleich|a1.card.a1-gleich.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-gleich","a1.card.a1-gleich.native","tūlīt","gleich","Imediat • Egal","Imediat • Egal","Imediat • Egal","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO gleich native: imediat/egal acceptably covers immediately vs equal German gleich senses beyond single LV tūlīt at A1.","INDIVIDUAL_LINGUISTIC"
"BATCH-219","2b85b777bcf61107","2b85b777bcf61107f16311a3260c442a44f733eba56f362730bc77ab7925e0a1","G2A1P3-RO-0056","g2/a1/ro|a1-gleich|a1.card.a1-gleich.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-gleich","a1.card.a1-gleich.study.translation","tūlīt","gleich","Imediat • Egal","Imediat • Egal","Imediat • Egal","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO gleich study.translation mirrors native; imediat/egal consistent with gleich card gloss.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","cc37b85e46a1fc3b","cc37b85e46a1fc3bf6609d0b61e5f12e021a4c7f50a97d7d5e10b79b52075c26","G2A1P3-RO-0063","g2/a1/ro|a1-huebsch|a1.card.a1-huebsch.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-huebsch","a1.card.a1-huebsch.study.comparison[0].meaning","glīts • pievilcīgs pēc izskata","hübsch","frumos • atractiv","frumos • atractiv","frumos • atractiv","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO hübsch comparison[0]: frumos/atractiv matches pretty/attractive-by-appearance LV glīts • pievilcīgs pēc izskata.","INDIVIDUAL_LINGUISTIC"
"BATCH-219","469e97175115275e","469e97175115275e6c09067c4103c097bfffe51f14ae8924793ba9d310fc72c9","G2A1P3-RO-0070","g2/a1/ro|a1-im|a1.card.a1-im.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-im","a1.card.a1-im.native","iekšā (-ā) • kur?","im","În • Unde?","În • Unde?","În • Unde?","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO im native: în/unde? appropriately teaches in/at + where-question for im LV iekšā • kur?.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","8d3c731fac508e53","8d3c731fac508e534c4b6dfb14cc6fe61335c68818fd924f0a95036718ce1027","G2A1P3-RO-0072","g2/a1/ro|a1-im|a1.card.a1-im.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-im","a1.card.a1-im.study.translation","iekšā (-ā) • kur?","im","În • Unde?","În • Unde?","În • Unde?","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO im study.translation mirrors native; în/unde? consistent with im card-level gloss.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","6e215eace2a60bdf","6e215eace2a60bdfc3a632837c5cc04e418c3002c8db831df8d24c8d0ca618cc","G2A1P3-RO-0087","g2/a1/ro|a1-kosten|a1.card.a1-kosten.study.important[0]|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-kosten","a1.card.a1-kosten.study.important[0]","kosten un bezahlen nav sinonīmi: kosten = cik maksā; bezahlen = samaksāt naudu.","kosten","Kosten și bezahlen nu sunt sinonime: kosten = cât costă • Bezahlen = a plăti bani.","Kosten și bezahlen nu sunt sinonime: kosten = cât costă • Bezahlen = a plăti bani.","Kosten și bezahlen nu sunt sinonime: kosten = cât costă • Bezahlen = a plăti bani.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO kosten important[0]: kosten vs bezahlen distinction correctly rendered from LV cost vs pay teaching.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","e10f035848f127f4","e10f035848f127f414339c6b6f885dc77ebb165d45c12b45f761dbcfa1097ba1","G2A1P3-RO-0088","g2/a1/ro|a1-land|a1.card.a1-land.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-land","a1.card.a1-land.native","valsts • zeme","Land","Ţară • Pământ","Ţară • Pământ","Ţară • Pământ","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO Land native: țară/pământ correctly distinguishes country vs land/earth LV valsts • zeme.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","93a67a31cd8642fa","93a67a31cd8642fa37e2fd9b1890e567f6f12fb19394e6867d4ca8c8766732d9","G2A1P3-RO-0089","g2/a1/ro|a1-land|a1.card.a1-land.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-land","a1.card.a1-land.study.translation","valsts • zeme","Land","Ţară • Pământ","Ţară • Pământ","Ţară • Pământ","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO Land study.translation mirrors native; țară/pământ matches Land dual-sense teaching.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","6f213f98e3e6cbfb","6f213f98e3e6cbfbbcfdbb429da091325e6dcdbf41c2cdfa324e1f82bdc88425","G2A1P3-RO-0100","g2/a1/ro|a1-mann|a1.card.a1-mann.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-mann","a1.card.a1-mann.native","vīrietis • vīrs","Mann","Bărbat • Soț","Bărbat • Soț","Bărbat • Soț","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO Mann native: bărbat/soț correctly distinguishes man vs husband LV vīrietis • vīrs.","INDIVIDUAL_LINGUISTIC"
"BATCH-219","4fcba50672a4b4e0","4fcba50672a4b4e05a18dbfc7bde17d3c67c4f644808d1a3e27eb5ea0a061172","G2A1P3-RO-0101","g2/a1/ro|a1-mann|a1.card.a1-mann.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-mann","a1.card.a1-mann.study.translation","vīrietis • vīrs","Mann","Bărbat • Soț","Bărbat • Soț","Bărbat • Soț","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO Mann study.translation mirrors native; bărbat/soț consistent with Mann card.","INDIVIDUAL_LINGUISTIC"
"BATCH-219","42c7baa6e1f4398c","42c7baa6e1f4398c49304e8c232ab2c2a990e16d14bf2c842d39ec5b23c91f79","G2A1P3-RO-0104","g2/a1/ro|a1-natuerlich|a1.card.a1-natuerlich.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-natuerlich","a1.card.a1-natuerlich.native","protams • dabisks","natürlich","Desigur • Firesc","Desigur • Firesc","Desigur • Firesc","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO natürlich native: desigur/firesc covers of-course vs natural LV protams • dabisks.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","f7b9bf2ea6710e1b","f7b9bf2ea6710e1b63a517c49c28f7e73281b22c457b3b373597fd7be2437dca","G2A1P3-RO-0105","g2/a1/ro|a1-natuerlich|a1.card.a1-natuerlich.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-natuerlich","a1.card.a1-natuerlich.study.translation","protams • dabisks","natürlich","Desigur • Firesc","Desigur • Firesc","Desigur • Firesc","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO natürlich study.translation mirrors native; desigur/firesc matches natürlich dual sense.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","9eb24d46745ffb75","9eb24d46745ffb75cda3f201673ac9d6b4ae38d23852e823dea82378be5d042a","G2A1P3-RO-0106","g2/a1/ro|a1-nehmen|a1.card.a1-nehmen.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-nehmen","a1.card.a1-nehmen.native","ņemt • paņemt","nehmen","A lua • A lua","A lua • A lua","A lua • A lua","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","A lua • A ridica","RO nehmen native: duplicate «A lua • A lua» collapses LV ņemt vs paņemt; LABOT to «A lua • A ridica» (take vs pick up).","INDIVIDUAL_LINGUISTIC"
"BATCH-219","468035165051ce7c","468035165051ce7c4531d9bc319d39d4934069a2443b436bf0e08dc600a750f7","G2A1P3-RO-0107","g2/a1/ro|a1-nehmen|a1.card.a1-nehmen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-nehmen","a1.card.a1-nehmen.study.translation","ņemt • paņemt","nehmen","A lua • A lua","A lua • A lua","A lua • A lua","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","A lua • A ridica","RO nehmen study.translation: duplicate «A lua • A lua» mirrors redundant native; LABOT to «A lua • A ridica».","INDIVIDUAL_LINGUISTIC"
"BATCH-220","90afc5711cced320","90afc5711cced3203d201c6d0d2e8f8a3058238d6c79f0503baff5a8ef42432c","G2A1P3-RO-0109","g2/a1/ro|a1-nur-study|a1.card.a1-nur-study.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-nur-study","a1.card.a1-nur-study.native","tikai • vienīgi","nur","Numai • Numai","Numai • Numai","Numai • Numai","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO nur native: numai/numai mirrors synonymous only/solely LV tikai • vienīgi at A1.","INDIVIDUAL_LINGUISTIC"
"BATCH-219","3b14e730da7733e0","3b14e730da7733e080c0bd43a7c2a9be6fa08f58e86fb1fdc36cc44adea4312e","G2A1P3-RO-0110","g2/a1/ro|a1-nur-study|a1.card.a1-nur-study.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-nur-study","a1.card.a1-nur-study.study.translation","tikai • vienīgi","nur","Numai • Numai","Numai • Numai","Numai • Numai","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO nur study.translation mirrors native; numai repetition acceptable for nur card gloss.","INDIVIDUAL_LINGUISTIC"
"BATCH-220","e4e4ce77f580144c","e4e4ce77f580144c66893c42d0e5931ca462b0e4def412b6b017821e73329fb9","G2A1P3-RO-0111","g2/a1/ro|a1-oder|a1.card.a1-oder.native|MULTI_TRANSLATION|deterministic/multi-translation","ro","","crowdin-staging/g2/ro-a1.json","a1-oder","a1.card.a1-oder.native","vai • jeb","oder","Sau • Sau","Sau • Sau","Sau • Sau","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","RO oder native: sau/sau mirrors synonymous or/alternative LV vai • jeb at A1.","INDIVIDUAL_LINGUISTIC"
